総合順位	No.	氏名	年齢	性別	居住地	総合記録	ｽｲﾑﾗｯﾌﾟ	Ｓ順	ﾊﾞｲｸﾗｯﾌﾟ	Ｂ順	ｽﾌﾟﾘｯﾄ	通過	ﾗﾝﾗｯﾌﾟ	Ｒ順	PT	男子順位	女子順位	年齢区分	年齡別順
参考記録	727	山口 剛司	43	男	愛知県		0:34:26	93	1:32:59	177	2:07:25	125						40-44歳	
参考記録	635	山田 岳史	35	男	岐阜県		0:31:57	53	1:35:44	215	2:07:41	128						35-39歳	
参考記録	683	早川 義弘	40	男	愛知県		0:36:26	134	1:31:32	148	2:07:58	130						40-44歳	
参考記録	713	安藤 晃一	42	男	愛知県		0:38:51	191	1:29:12	119	2:08:03	132						40-44歳	
参考記録	614	渡邉 祐樹	33	男	愛知県		0:34:31	95	1:33:47	190	2:08:18	134						30-34歳	
参考記録	879	安永 道直	55	男	愛知県		0:35:14	108	1:33:09	180	2:08:23	136						55-59歳	
参考記録	514	小久保 颯馬	19	男	愛知県		0:37:53	166	1:30:30	133	2:08:23	135						19歳以下	
参考記録	972	川口 智子	35	女	愛知県		0:36:34	136	1:32:06	162	2:08:40	138						35-39歳	
参考記録	842	小林 秀彦	51	男	静岡県		0:35:12	107	1:33:51	193	2:09:03	141						50-54歳	
参考記録	685	稲垣 英彦	40	男	愛知県		0:37:11	149	1:32:00	158	2:09:11	142						40-44歳	
参考記録	855	山田 潤	52	男	愛知県		0:41:45	275	1:27:43	97	2:09:28	143						50-54歳	
参考記録	536	和田 久敬	24	男	愛知県		0:29:18	29	1:40:16	267	2:09:34	144						20-24歳	
参考記録	620	植尾 大輔	33	男	愛知県		0:37:53	167	1:31:43	153	2:09:36	145						30-34歳	
参考記録	626	永田 悠吉	34	男	愛知県		0:37:21	153	1:32:17	165	2:09:38	146						30-34歳	
参考記録	847	成田 登志雄	52	男	愛知県		0:37:05	148	1:32:39	171	2:09:44	147						50-54歳	
参考記録	521	渡邊 瑠己	20	男	愛知県		0:29:04	24	1:40:44	275	2:09:48	148						20-24歳	
参考記録	646	石田 晋嗣	36	男	愛知県		0:34:07	84	1:35:43	214	2:09:50	150						35-39歳	
参考記録	624	河合 要介	34	男	愛知県		0:38:45	187	1:31:08	140	2:09:53	151						30-34歳	
参考記録	680	福井 昭吾	40	男	愛知県		0:37:21	152	1:32:36	170	2:09:57	152						40-44歳	
参考記録	794	仲野 哲央	47	男	静岡県		0:38:33	180	1:31:30	146	2:10:03	153						45-49歳	
