順位	部門	№	氏名	ﾌﾘｶﾞﾅ	TOTAL		SWIM		T1	BIKE		T2	RUN		ｸﾗｽ	ｸﾗｽ別順位	JTU登録地
119	60歳以上	648	前崎 泰亮	マエザキ タイスケ	2:55:48.484	119	0:28:24.595	54	0:04:37.342	1:23:36.844	227	0:03:27.688	0:55:42.015	129	65-69M	2	熊本県
120	49歳以下	298	髙津 康弘	タカツ ヤスヒロ	2:55:52.190	120	0:33:23.337	135	0:06:26.633	1:10:27.769	38	0:04:11.258	1:01:23.193	193	40-44M	13	福岡県
121	60歳以上	610	小森谷  功	コモリヤ  イサオ	2:56:09.180	121	0:29:34.308	70	0:03:57.983	1:19:11.714	150	0:02:59.059	1:00:26.116	180	60-64M	8	神奈川県
122	50歳代	415	興梠 浩幸	コウロキ ヒロユキ	2:56:09.292	122	0:30:05.196	84	0:04:56.695	1:16:15.063	115	0:02:48.963	1:02:03.375	200	50-54M	32	宮崎県
123	49歳以下	362	森  千尋	モリ  チヒロ	2:56:21.259	123	0:33:29.584	138	0:05:01.968	1:22:12.454	204	0:02:44.955	0:52:52.298	95	45-49M	24	福岡県
124	49歳以下	289	島田 幸典	シマダ コウスケ	2:56:41.885	124	0:39:02.513	253	0:06:43.237	1:14:50.557	95	0:02:56.295	0:53:09.283	99	40-44M	14	福岡県
125	50歳代	492	福家  健作	フクイエ  ケンサク	2:56:45.106	125	0:32:20.066	109	0:05:24.122	1:17:40.524	131	0:03:19.600	0:58:00.794	148	55-59M	13	福岡県
126	50歳代	524	永田  善郎	ナガタ  ヨシロウ	2:56:48.195	126	0:31:44.471	101	0:07:40.630	1:13:29.217	74	0:03:46.124	1:00:07.753	175	55-59M	14	東京都
127	50歳代	460	庄山  義樹	シヨウヤマ  ヨシキ	2:56:50.446	127	0:32:53.953	124	0:06:45.050	1:17:10.273	124	0:03:49.518	0:56:11.652	133	50-54M	33	熊本県
128	60歳以上	652	毛利 力	モウリ チカラ	2:56:55.094	128	0:28:05.718	52	0:04:59.719	1:14:42.293	94	0:02:43.484	1:06:23.880	232	65-69M	3	山口県
129	49歳以下	300	千葉  拓也	チバ  タクヤ	2:57:00.054	129	0:38:10.276	235	0:05:11.225	1:11:06.862	49	0:03:55.073	0:58:36.618	156	40-44M	15	東京都
130	49歳以下	333	黒田 福太郎	クロダ フクタロウ	2:57:05.794	130	0:33:12.241	129	0:05:59.143	1:22:29.562	209	0:03:22.876	0:52:01.972	84	40-44M	16	宮崎県
131	50歳代	493	宮崎 幸宏	ミヤザキ ユキヒロ	2:57:13.744	131	0:35:12.427	186	0:04:43.287	1:14:42.072	93	0:04:57.380	0:57:38.578	142	55-59M	15	福岡県
132	50歳代	428	小口 俊和	オグチ トシカズ	2:57:30.692	132	0:34:12.249	164	0:06:57.076	1:12:36.181	66	0:04:57.939	0:58:47.247	161	50-54M	34	長野県
133	49歳以下	389	吉見 雅博	ヨシミ マサヒロ	2:58:20.736	133	0:27:12.043	36	0:06:04.392	1:19:51.708	157	0:03:36.548	1:01:36.045	196	45-49M	25	宮崎県
134	60歳以上	644	川島  知之	カワシマ  トモユキ	2:58:40.551	134	0:33:50.482	151	0:05:05.211	1:20:18.329	168	0:02:59.511	0:56:27.018	137	65-69M	4	宮崎県
135	50歳代	450	吉武 太志	ヨシタケ フトシ	2:58:45.573	135	0:33:18.663	132	0:06:04.943	1:21:26.215	190	0:02:50.946	0:55:04.806	124	50-54M	35	福岡県
136	49歳以下	341	中村 隆哲	ナカムラ タカアキ	2:58:46.297	136	0:32:24.794	113	0:06:36.007	1:24:41.306	240	0:02:33.632	0:52:30.558	90	45-49M	26	鹿児島県
137	60歳以上	630	岡田 慎二	オカダ シンジ	2:58:52.026	137	0:34:06.335	159	0:04:58.661	1:16:58.646	121	0:04:25.526	0:58:22.858	153	60-64M	9	大分県
138	50歳代	501	前田 健二	マエダ ケンジ	2:59:05.398	138	0:34:35.380	171	0:06:21.274	1:22:52.618	216	0:03:30.397	0:51:45.729	00:00.0	55-59M	16	佐賀県
139	49歳以下	348	村松 直樹	ムラマツ ナオキ	2:59:14.576	139	0:29:50.011	78	0:05:36.702	1:14:17.718	87	0:03:53.258	1:05:36.887	230	45-49M	27	福岡県
