Overall_Rank	Name	Gender	Division	Div_Rank	Total_Time	Swim	Bike	Run
301	William Ludington	M	M55-59	11	5:07:31	0:37:59	2:39:21	1:43:45
302	Michael Knight	M	M35-39	34	5:07:31	0:39:07	2:40:04	1:40:57
303	Eric Scott	M	M45-49	21	5:07:44	0:38:49	2:37:36	1:44:45
304	Jakin Wu	M	M25-29	44	5:08:00	0:34:38	2:42:00	1:40:53
305	Sloane Tilley	F	FPRO	22	5:08:01	0:34:12	2:47:24	1:41:43
306	Richard Parker	M	M50-54	16	5:08:11	0:33:24	2:48:27	1:38:44
307	Joshua Werling	M	M30-34	38	5:08:38	0:33:22	2:48:46	1:40:32
308	Julio Orlando Gonzalez Rueda	M	M25-29	45	5:08:40	0:36:30	2:42:04	1:44:16
309	Chad Hanson	M	M45-49	22	5:08:47	0:37:51	2:39:13	1:45:02
310	Chad Lund	M	M50-54	17	5:08:48	0:32:43	2:45:30	1:42:51
311	Keith Norsym	M	M50-54	18	5:08:51	0:36:31	2:36:00	1:48:43
312	Alastair Price	M	M35-39	35	5:09:09	0:35:47	2:41:03	1:45:13
313	Andre Anversi	M	M35-39	36	5:09:27	0:37:40	2:37:23	1:48:59
314	Connor Thorn	M	M25-29	46	5:09:30	0:31:57	2:44:04	1:46:57
315	Tanner Gray	M	M30-34	39	5:09:54	0:35:18	2:32:16	1:54:16
