総合順位	No.	氏名	年齢	性別	JTU登録	総合記録	ｽｲﾑﾗｯﾌﾟ	Ｓ順	T1	ﾊﾞｲｸﾗｯﾌﾟ	Ｂ順	ﾗﾝﾗｯﾌﾟ	Ｒ順	男子順位	女子順位	年齢区分	年齢別順	岐阜県選手権	選手権順位
142	1803	福岡 功整	19	男	学連	2:51:13	0:34:17	148	0:02:56	1:23:05	169	0:50:55	104	122		18-19男⼦	4		
143	5011	福島 ⼤⼆郎	51	男	神奈川	2:51:18	0:42:40	223	0:02:07	1:15:48	114	0:50:43	102	123		50-54男⼦	25		
144	5036	渋井 信治	54	男	埼⽟	2:51:33	0:38:46	197	0:01:42	1:14:28	94	0:56:37	154	124		50-54男⼦	26		
145	4027	堀⼝ 明裕	44	男	京都	2:51:52	0:38:26	192	0:02:13	1:23:35	180	0:47:38	68	125		40-44男⼦	15		
146	5027	服部 勝彦	53	男	愛知	2:52:10	0:35:17	160	0:00:00	1:25:05	191	0:51:48	110	126		50-54男⼦	27		
147	402	松永 有⾹⼦	40	⼥	岐⾩	2:52:36	0:32:27	121	0:02:08	1:15:56	117	1:02:05	188		21	40-44⼥⼦	3	岐⾩県⼥⼦	2
148	4530	富⼭ 哲成	49	男	岐⾩	2:53:51	0:31:32	109	0:02:50	1:22:09	161	0:57:20	160	127		45-49男⼦	14	岐⾩県男⼦	10
149	3008	五島 達也	31	男	兵庫	2:53:56	0:35:53	168	0:04:52	1:24:39	185	0:48:32	78	128		30-34男⼦	9		
150	3504	堀 公貴	35	男	岐⾩	2:54:05	0:30:39	95	0:03:00	1:23:34	178	0:56:52	157	129		35-39男⼦	20	岐⾩県男⼦	11
151	4506	藤本 努	45	男	⼤阪	2:54:18	0:34:40	152	0:04:38	1:19:41	150	0:55:19	144	130		45-49男⼦	15		
152	5521	松尾 隆浩	59	男	岐⾩	2:54:29	0:32:50	130	0:02:24	1:21:12	157	0:58:03	171	131		55-59男⼦	12	岐⾩県男⼦	12
153	452	⾦澤 理恵	45	⼥	三重	2:54:32	0:28:12	68	0:02:08	1:18:15	135	1:05:57	202		22	45-49⼥⼦	5		
154	2008	平井 健太	21	男	三重	2:54:50	0:38:34	194	0:02:31	1:15:14	104	0:58:31	173	132		20-24男⼦	8		
155	4026	北條 明宏	44	男	⼤阪	2:55:39	0:36:20	175	0:03:41	1:15:51	116	0:59:47	178	133		40-44男⼦	16		
156	5039	福⽥ 秀⼈	54	男	東京	2:55:39	0:42:22	221	0:04:06	1:19:43	151	0:49:28	88	134		50-54男⼦	28		
157	4519	稲垣 英彦	48	男	愛知	2:55:40	0:42:10	219	0:03:56	1:16:05	118	0:53:29	127	135		45-49男⼦	16		
158	5038	⼟⽅ 宏治	54	男	愛知	2:55:41	0:26:50	42	0:02:06	1:24:54	190	1:01:51	187	136		50-54男⼦	29		
159	603	武⽥ 久美⼦	62	⼥	⼤阪	2:56:22	0:37:15	184	0:02:38	1:21:49	160	0:54:40	138		23	60-64⼥⼦	1		
160	2502	⻄本 光輝	25	男	埼⽟	2:57:54	0:36:19	173	0:02:41	1:21:09	156	0:57:45	169	137		25-29男⼦	6		
161	2001	浅岡 ⼤輝	20	男	愛知	2:57:56	0:35:03	159	0:03:37	1:22:44	166	0:56:32	153	138		20-24男⼦	9		
162	4522	⾼橋 順彦	48	男	愛知	2:58:08	0:32:43	127	0:04:11	1:21:16	158	0:59:58	180	139		45-49男⼦	17		
163	3009	⼭本 幸⼤	31	男	愛知	2:58:12	0:29:10	80	0:04:56	1:22:55	167	1:01:11	184	140		30-34男⼦	10		
